id_ville;ville;code_postal
896;Molinchart;2000
897;Monampteuil;2000
898;Monceau-le-Neuf-et-Faucouzy;2270
899;Monceau-lès-Leups;2270
900;Monceau-le-Waast;2840
901;Monceau-sur-Oise;2120
902;Mondrepuis;2500
903;Monnes;2470
904;Mons-en-Laonnois;2000
905;Montaigu;2820
906;Montbavin;2000
907;Montbrehain;2110
908;Montchâlons;2860
909;Montcornet;2340
910;Mont-d'Origny;2390
911;Montescourt-Lizerolles;2440
912;Montfaucon;2540
913;Montgobert;2600
914;Montgru-Saint-Hilaire;2210
915;Monthenault;2860
916;Monthiers;2400
917;Monthurel;2330
918;Montigny-en-Arrouaise;2110
919;Montigny-l'Allier;2810
920;Montigny-le-Franc;2250
921;Montigny-Lengrain;2290
922;Montigny-lès-Condé;2330
923;Montigny-sous-Marle;2250
924;Montigny-sur-Crécy;2270
925;Montlevon;2330
926;Montloué;2340
927;Mont-Notre-Dame;2220
928;Montreuil-aux-Lions;2310
929;Mont-Saint-Jean;2360
930;Mont-Saint-Martin;2220
931;Mont-Saint-Père;2400
932;Morcourt;2100
933;Morgny-en-Thiérache;2360
934;Morsain;2290
935;Mortefontaine;2600
936;Mortiers;2270
937;Moulins;2160
938;Moussy-Verneuil;2160
939;Moÿ-de-l'Aisne;2610
940;Muret-et-Crouttes;2210
941;Muscourt;2160
942;Nampcelles-la-Cour;2140
943;Nampteuil-sous-Muret;2200
944;Nanteuil-la-Fosse;2880
945;Nanteuil-Notre-Dame;2210
946;Nauroy;2420
947;Nesles-la-Montagne;2400
948;Neufchâtel-sur-Aisne;2190
949;Neuflieux;2300
950;Neuilly-Saint-Front;2470
951;Neuve-Maison;2500
952;La Neuville-Bosmont;2250
953;La Neuville-en-Beine;2300
954;La Neuville-Housset;2250
955;La Neuville-lès-Dorengt;2450
956;Neuville-Saint-Amand;2100
957;Neuville-sur-Ailette;2860
958;Neuville-sur-Margival;2880
959;Neuvillette;2390
960;Nizy-le-Comte;2150
961;Nogentel;2400
962;Nogent-l'Artaud;2310
963;Noircourt;2340
964;Noroy-sur-Ourcq;2600
965;Le Nouvion-en-Thiérache;2170
966;Nouvion-et-Catillon;2270
967;Nouvion-le-Comte;2800
968;Nouvion-le-Vineux;2860
969;Nouvron-Vingré;2290
970;Noyales;2120
971;Noyant-et-Aconin;2200
972;OEuilly;2160
973;Ognes;2300
974;Ohis;2500
975;Oigny-en-Valois;2600
976;Oisy;2450
977;Ollezy;2480
978;Omissy;2100
979;Orainville;2190
980;Orgeval;2860
981;Origny-en-Thiérache;2550
982;Origny-Sainte-Benoite;2390
983;Osly-Courtil;2290
984;Ostel;2370
985;Oulches-la-Vallée-Foulon;2160
986;Oulchy-la-Ville;2210
987;Oulchy-le-Château;2210
988;Paars;2220
989;Paissy;2160
990;Pancy-Courtecon;2860
991;Papleux;2260
992;Parcy-et-Tigny;2210
993;Parfondeval;2360
994;Parfondru;2840
995;Pargnan;2160
