id_vile;ville;code_postal
635;VIELLE ST GIRONS;40560
636;VIELLE SOUBIRAN;40240
637;VILLENAVE;40110
638;YCHOUX;40160
639;YGOS ST SATURNIN;40110
640;ARVILLE;41170
641;AUTHON;41310
642;BILLY;41130
643;BINAS;41240
644;BONNEVEAU;41800
645;BOUFFRY;41270
646;BREVAINVILLE;41160
647;BRIOU;41370
648;CELLETTES;41120
649;LA CHAPELLE MONTMARTIN;41320
650;CHATEAUVIEUX;41110
651;DHUIZON;41220
652;DROUE;41270
653;EPUISAY;41360
654;FAYE;41100
655;FRETEVAL;41160
656;GIEVRES;41130
657;HOUSSAY;41800
658;HUISSEAU EN BEAUCE;41310
659;HUISSEAU SUR COSSON;41350
660;LISLE;41100
661;LORGES;41370
662;MARCILLY EN GAULT;41210
663;MAREUIL SUR CHER;41110
664;MAROLLES;41330
665;VALENCISSE;41190
666;MONTHOU SUR CHER;41400
667;LES MONTILS;41120
668;MONT PRES CHAMBORD;41250
669;MONTRIEUX EN SOLOGNE;41210
670;MOREE;41160
671;MUIDES SUR LOIRE;41500
672;MULSANS;41500
673;PIERREFITTE SUR SAULDRE;41300
674;LE PLESSIS L ECHELLE;41370
675;LE POISLAY;41270
676;ROCHES;41370
677;ROMILLY;41270
678;ST DYE SUR LOIRE;41500
679;ST FIRMIN DES PRES;41100
680;STE GEMMES;41290
681;ST JACQUES DES GUERETS;41800
682;ST JULIEN SUR CHER;41320
683;ST LAURENT NOUAN;41220
684;ST LEONARD EN BEAUCE;41370
685;ST OUEN;41100
686;ST SULPICE DE POMMERAY;41000
687;SEUR;41120
688;TERNAY;41800
689;VIEVY LE RAYE;41290
690;VIEVY LE RAYE;41290
691;LA VILLE AUX CLERCS;41160
692;VILLETRUN;41100
693;YVOY LE MARRON;41600
694;AMBIERLE;42820
695;ANDREZIEUX BOUTHEON;42160
696;APINAC;42550
697;LE BESSAT;42660
698;BOISSET LES MONTROND;42210
699;CERVIERES;42440
700;CHANDON;42190
701;ERCOURT;80210
702;ESSERTAUX;80160
703;ETERPIGNY;80200
704;ETRICOURT MANANCOURT;80360
705;LA FALOISE;80250
706;FAVEROLLES;80500
707;FESCAMPS;80500
708;FEUQUIERES EN VIMEU;80210
709;FLIXECOURT;80420
710;FLUY;80540
711;FONTAINE SUR MAYE;80150
712;FORT MAHON PLAGE;80120
713;FOURDRINOY;80310
714;FROHEN SUR AUTHIE;80370
715;GAMACHES;80220
716;GAUVILLE;80290
717;GLISY;80440
718;GREBAULT MESNIL;80140
719;GRIVESNES;80250
720;GROUCHES LUCHUEL;80600
721;GUIZANCOURT;80290
722;GUYENCOURT SAULCOURT;80240
723;HALLENCOURT;80490
724;HAM;80400
725;HARBONNIERES;80131
726;HARPONVILLE;80560
727;HATTENCOURT;80700
728;HEDAUVILLE;80560
729;HESCAMPS;80290
730;HIERMONT;80370
731;HUMBERCOURT;80600
732;HUPPY;80140
733;IRLES;80300
734;LABOISSIERE EN SANTERRE;80500
735;LIGESCOURT;80150
736;LIGNIERES EN VIMEU;80140
737;LIHONS;80320
738;LIOMER;80430
739;LOEUILLY;80160
740;LONGUEAU;80330
741;MAISON PONTHIEU;80150
742;MAISON ROLAND;80135
743;MAIZICOURT;80370
744;MARLERS;80290
745;MERICOURT SUR SOMME;80340
746;MESNIL MARTINSART;80300
747;MESNIL ST NICAISE;80190
748;MEZIERES EN SANTERRE;80110
749;MILLENCOURT EN PONTHIEU;80135
750;MIRAUMONT;80300
751;MISERY;80320
752;MONTAUBAN DE PICARDIE;80300
753;MONTDIDIER;80500
754;MONTIGNY SUR L HALLUE;80260
755;MONTONVILLERS;80260
756;FIEFFES MONTRELET;80670
757;MORVILLERS ST SATURNIN;80290
758;MOUFLERS;80690
759;NAOURS;80260
760;NESLETTE;80140
761;NEUILLY LE DIEN;80150
762;NEUILLY L HOPITAL;80132
763;NEUVILLETTE;80600
764;NOUVION;80860
765;NOYELLES SUR MER;80860
766;NURLU;80240
767;OFFIGNIES;80290
768;ORESMAUX;80160
769;OUST MAREST;80460
770;PLACHY BUYON;80160
771;POIX DE PICARDIE;80290
772;POULAINVILLE;80260
773;PROUVILLE;80370
774;PROUZEL;80160
775;PYS;80300
776;QUIRY LE SEC;80250
777;REMAUGIES;80500
778;ROIGLISE;80700
779;RONSSOY;80740
780;ROUY LE GRAND;80190
781;SAILLY FLIBEAUCOURT;80970
782;SAILLY SAILLISEL;80360
783;ST MAULVIS;80140
784;ST RIQUIER;80135
785;ST SAUFLIEU;80160
786;SAISSEVAL;80540
787;SAULCHOY SOUS POIX;80290
788;SAVEUSE;80470
789;SENARPONT;80140
790;SEUX;80540
791;SOREL EN VIMEU;80490
792;SOUES;80310
793;SUZANNE;80340
794;TEMPLEUX LE GUERARD;80240
795;TINCOURT BOUCLY;80240
796;LE TITRE;80132
797;VAUVILLERS;80131
798;VILLEROY;80140
799;VILLERS SOUS AILLY;80690
800;VILLERS TOURNELLE;80500
801;HOURTIN;33990
802;JUGAZAN;33420
803;LACANAU;33680
804;LAMARQUE;33460
805;LANDERROUET SUR SEGUR;33540
806;LANGOIRAN;33550
807;LANGON;33210
808;LARTIGUE;33840
809;LATRESNE;33360
810;LEOGNAN;33850
811;LESTIAC SUR GARONNE;33550
812;LES LEVES ET THOUMEYRAGUES;33220
813;LIBOURNE;33500
814;LORMONT;33310
815;LOUCHATS;33125
816;LUGAIGNAC;33420
817;MACAU;33460
818;MARGAUX;33460
819;MARSAS;33620
